num_topics,coherence_20,coherence_mini,coherence_merged
2,0.6829759660776614,0.6028979589935519,0.6829546028516085
3,0.6684317570235597,0.6094630136813598,0.6731192361670177
4,0.6676283339822054,0.6538727750017608,0.6674738586561733
5,0.6525868401166945,0.6325762986895856,0.6426419854400219
6,0.6575863093231398,0.6032919943688578,0.6499728360229496
7,0.6091768293001644,0.6227426537606566,0.61914050579176
8,0.5963861995749147,0.5967426785432706,0.6178595828021418
9,0.6207117115861442,0.6148541424085071,0.6319561187013744
10,0.5638173746315414,0.6591492619588128,0.5665332051725964
11,0.6352625695603185,0.6510440764659478,0.587580625087101
12,0.6129144933562207,0.6000606912559193,0.5941408342914114
13,0.6163030900464379,0.6145131090279101,0.5982350455639653
14,0.5950809745027594,0.6113122764781809,0.6034737773601996
